id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
681842,Bedrm/Bath - Swanky Northside Condo,3472696,Roxane,,West Ridge,41.99373,-87.68279,Private room,61,32,32,2024-12-11,0.22,2,203,4,R21000061018
697634,"2 BD Condo by downtown,park,lake",3574415,Marvin Stanley,,Near North Side,41.90437,-87.6335,Entire home/apt,105,32,160,2024-05-26,1.12,2,195,1,City registration pending
726376,"Spacious Studio, Amazing Location!",2658212,James,,Lake View,41.93903,-87.65196,Entire home/apt,122,2,874,2025-02-23,5.80,3,19,71,R22000080211
739495,Lovely 2 bedroom in Lincoln Square,3867687,Janet,,Lincoln Square,41.9765,-87.68144,Entire home/apt,180,7,218,2024-12-03,1.54,1,220,3,R24000116754
755701,3 Bedroom Victorian Beauty at Logan Square,3920450,Vasileios,,Logan Square,41.93115,-87.71836,Entire home/apt,68,32,31,2024-12-04,0.22,4,192,4,City registration pending
863120,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla And Enki,,Lincoln Park,41.92218,-87.66079,Private room,91,2,160,2025-02-09,1.13,1,0,8,R21000072699
929914,Victorian Home meets Mid-Century Modern Decor,5007980,Lynn,,Lincoln Park,41.912410736083984,-87.63896942138672,Entire home/apt,,3,504,2024-11-18,3.46,1,0,34,R21000073898
931105,Modern Guest Bedroom Room in Designers House,5015135,Samantha,,East Garfield Park,41.88538,-87.69801,Private room,172,32,22,2018-11-02,0.15,1,362,0,R17000015264
960326,The Penthouse Gallery at OHC - No Cleaning Fee!,5228189,Matthew,,West Town,41.89602,-87.65659,Entire home/apt,232,2,473,2025-02-23,3.30,18,336,47,2457501
966137,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",5016495,Erika,,Near West Side,41.86801,-87.67877,Entire home/apt,137,32,41,2023-09-01,0.28,1,57,0,city registration pending
979841,"Huge Victorian near Loyola, Lake #1",5076708,Lois And Eduardo,,Rogers Park,42.00588,-87.66853,Private room,74,2,341,2024-12-12,2.35,4,342,28,R17000015436
979926,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,,Rogers Park,42.00477,-87.66842,Private room,73,2,379,2025-02-09,2.63,4,314,34,R17000015436
979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,,Rogers Park,42.00378,-87.66807,Private room,73,2,341,2024-12-20,2.35,4,347,30,R17000015436
983640,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,,Rogers Park,42.00456,-87.67058,Entire home/apt,179,2,292,2024-12-31,2.04,4,315,30,R17000015436
1020810,Beautiful Condo in Chicago,3843347,Andrea,,Near North Side,41.89395,-87.62593,Entire home/apt,95,32,42,2024-12-20,0.29,3,1,4,City registration pending
1027463,Chicago Women's Residence Florence Comfy Rm,5654677,Urban Art,,North Lawndale,41.8544,-87.70852,Private room,45,32,11,2021-09-05,0.10,3,68,0,R22000076746
1027741,Chicago Women's Residence Midler Rm,5654677,Urban Art,,North Lawndale,41.85454,-87.70802,Private room,45,32,5,2019-10-13,0.06,3,106,0,R22000076746
1083987,MODERN LOFT Downtown by McCormick w/KING BED WiFi,3965428,Paul,,Near South Side,41.85395,-87.62468,Entire home/apt,135,32,17,2024-12-07,0.12,24,210,1,City registration pending
1171860,"Lincoln Park Studio, Great Value!",2658212,James,,Lincoln Park,41.92655,-87.64226,Entire home/apt,83,2,741,2024-12-30,5.21,3,32,45,R22000081599
1185749,3 Bedroom Vintage Hideaway In Little Italy/uic,1664593,Matt And Christy,,Near West Side,41.87033,-87.6826,Entire home/apt,174,3,377,2025-02-24,2.63,1,0,13,R23000099312
1195259,Wicker Park - Garden At The Heart of It All,2899484,Jason,,West Town,41.90914,-87.67859,Entire home/apt,161,5,216,2025-01-02,1.51,2,261,4,2446767
1242709,Beautiful/Large SE Evanston Apt,1254363,Mark,,Rogers Park,42.01938,-87.67985,Entire home/apt,122,7,17,2024-09-30,0.14,1,364,1,
1304049,Private room near UIC Medical Dist.,7089017,Sharon,,Near West Side,41.86967,-87.68284,Private room,45,32,125,2024-08-11,0.89,1,252,2,R25000125699
1321332,Lincoln Park Single Family Home,946954,Jeff,,Lincoln Park,41.93089,-87.66946,Entire home/apt,447,2,116,2024-09-22,0.84,1,282,3,2262746
1356190,Logan Square Vintage Deluxe Private Suite & Bath,3069675,Gabrielle,,Logan Square,41.91984,-87.68962,Private room,92,3,476,2025-03-10,3.40,1,250,47,R23000111151
1361421,Wrigley Hostel - Queen Bed Room,7391164,Wrigley Hostel,,Lake View,41.9459,-87.65461,Private room,,32,40,2021-05-23,0.30,2,0,0,R20000058693
1392594,"Bright open house, garden & deck",7528098,Eileen,,Uptown,41.96909,-87.67407,Entire home/apt,200,3,32,2024-08-07,0.23,1,179,2,R22000079042
1461451,02b. Twin bed in Coed Space,2907254,Joseph,,West Ridge,42.01653,-87.68788,Shared room,18,1,209,2025-01-05,1.48,13,0,19,R21000075752
1502674,The Biddle House (#2),33004,At Home Inn,,Lincoln Park,41.91175,-87.63834,Entire home/apt,120,4,143,2025-02-04,1.02,6,266,26,2209985
1502700,The Biddle House,33004,At Home Inn,,Lincoln Park,41.91184,-87.63963,Entire home/apt,431,32,16,2019-09-02,0.12,6,0,0,"2120298, 2120297"
1554433,Charming Home in Chicago,6088938,Eric,,Beverly,41.71554,-87.67197,Private room,44,32,200,2024-08-06,1.43,2,364,1,R17000013891
1573401,Spacious & serene in hip spot. Sleeps 4.,8186262,April,,Lower West Side,41.85592,-87.66249,Private room,54,2,430,2024-12-27,4.93,2,0,52,R21000069179
1584422,Magic Factory Loft 2West,2810938,Carole,,Near North Side,41.90532,-87.64761,Entire home/apt,374,3,52,2024-10-14,0.37,3,305,6,2555923
1591370,Cozy Northside Apt near Trans&Beach&Free St Prking,8489460,Holly + Mark,,Rogers Park,42.01177,-87.67758,Entire home/apt,123,2,209,2024-12-13,1.49,1,215,19,R22000090320
1614802,"Contemporary, private suite w fireplace",8595700,Carin,,Lake View,41.93455,-87.66141,Entire home/apt,68,4,395,2025-03-02,2.97,1,2,41,R23000105186
1620098,Bedroom + apartment in Lincoln Park,8619275,Leszek,,Lincoln Park,41.92817,-87.64282,Entire home/apt,140,1,82,2024-10-27,0.59,1,87,14,R24000123657
1663673,iKlektik House Chicago / Cardinal,8813383,Mindy + Tony,,West Town,41.89322,-87.68572,Entire home/apt,97,2,434,2025-02-24,3.20,3,2,35,R22000090635
1759266,Lakeview / Lincoln Park Vintage,9249272,Mark,,Lake View,41.93396,-87.65897,Entire home/apt,121,2,90,2025-03-02,0.69,1,225,10,2209110
1769731,1 Bedroom Across from Wrigley Field MVP Suite,9297431,Inn At Wrigleyville,,Lake View,41.94747,-87.65417,Entire home/apt,222,1,31,2024-12-08,0.69,6,0,9,2446867
1772920,3 Bedroom Across from Wrigley Field AllStar Suite,9297431,Inn At Wrigleyville,,Lake View,41.94842,-87.65307,Entire home/apt,450,1,21,2025-01-19,0.15,6,165,7,2446868
1773021,4 Bedroom Across from Wrigley Field Stadium Suite,9297431,Inn At Wrigleyville,,Lake View,41.94774,-87.65421,Entire home/apt,593,1,52,2025-01-01,1.09,6,151,18,2446868
1773025,4 Bedroom Across from Wrigley Field Legend Suite,9297431,Inn At Wrigleyville,,Lake View,41.9475,-87.6542,Entire home/apt,636,1,37,2024-12-29,0.78,6,165,12,2446867
1810118,LARGE 1BR/Private Full Bath near U of Chicago,9483312,Ryan,,Woodlawn,41.77738,-87.60041,Private room,70,4,373,2024-10-14,2.77,2,102,8,R17000015592
1837153,Musician's Quarters,9601147,Chester,,Hyde Park,41.79989,-87.59432,Entire home/apt,,32,60,2024-10-03,0.44,1,0,2,City registration pending
1854000,Elegant Lakefront Near Wrigley Field Lake Michigan,9471604,James,,Lincoln Park,41.93264,-87.64311,Entire home/apt,435,32,155,2022-08-09,1.14,1,365,0,R93749978238
1869568,"Homey, cozy and comfortable!",1971382,Esmirna,,North Lawndale,41.856382599584634,-87.71415361216066,Private room,59,1,3,2024-11-19,0.22,4,328,2,R23000111400
1921670,The Avondale Garden Unit,9959757,Jedidiah,,Irving Park,41.94663,-87.70783,Entire home/apt,127,2,352,2025-02-16,2.87,9,319,34,R18000036958
1931880,Charming Mid-Century Designed Apt in E Lakeview,4995578,George,,Lake View,41.93564,-87.6424,Entire home/apt,183,32,1,2022-09-05,0.03,1,90,0,
1939467,"Rm 1, Quiet&Cozy in Old Irving - NonSmokers, only",8292749,Ilya,,Irving Park,41.959981860728035,-87.73006782293396,Private room,58,32,5,2024-08-31,0.24,2,58,2,
1984545,Soulful Living 3B-3B Home Hyde Park/Bronzeville,4010906,Bobbie,,Grand Boulevard,41.81961,-87.61324,Entire home/apt,251,32,4,2017-06-06,0.03,6,365,0,2255946
2011301,Bucktown - Great Northside Location,5166793,Bradley,,Logan Square,41.92118,-87.68678,Private room,75,2,302,2025-02-01,2.20,2,0,20,R22000077881
2062638,Downtown Urban Oasis 3BR + Huge Deck & Parking!,1876597,Hans,,West Town,41.89821,-87.6572,Entire home/apt,206,2,227,2024-11-18,1.66,2,353,16,2510880
2103986,Mid-Century Townhouse in Lakeview,1838943,Sunnie/Randolph,,Lake View,41.93338,-87.63913,Private room,86,1,172,2024-12-22,1.31,1,1,14,R22000091334
2139407,Urban Farm Fun!  Walk to Metra/CTA,10917550,Nicky,,Humboldt Park,41.88849,-87.70648,Entire home/apt,81,2,613,2024-11-04,4.51,5,305,40,R25000126755
2298310,"Hyde Park / Kenwood, U of Chicago. Free bike.",1385332,Pattaraporn,,Kenwood,41.80239,-87.60244,Private room,67,3,64,2024-12-07,0.48,18,1,7,R21000072908
2396340,The Woodsman's Gallery at OHC - No Cleaning Fee!,5228189,Matthew,,West Town,41.89634,-87.65608,Entire home/apt,210,2,542,2025-02-26,4.05,18,1,46,2385048
2437230,City Hideaway,7000138,Brock & Kim,,North Center,41.94272,-87.68409,Entire home/apt,162,2,107,2024-12-01,0.82,1,137,9,R24000114939
2479175,Cozy Garden-Subterranean Apartment,12681444,Jenny,,Lincoln Square,41.96316,-87.69208,Entire home/apt,78,2,289,2024-12-14,2.18,1,35,23,R17000017830
2499596,Vintage Apartment in the Heart of the Ukrainian Village,2768314,Jason,,West Town,41.90006,-87.68096,Entire home/apt,134,10,192,2025-02-22,1.43,3,66,12,R23000108359
2515629,"Cozy, Quiet, Private bathroom in private room",12877384,Tanya,,East Garfield Park,41.88152,-87.69768,Private room,35,7,186,2025-03-07,1.44,2,137,14,R21000073422
2519442,"Warm Cozy Suite, Private Bath, Free Street Parking",7858620,Cynthia,,Washington Park,41.79606,-87.62382,Private room,80,2,128,2024-12-28,0.97,1,361,17,R17000013595
2543231,Private room near Downtown,2850286,Amado,,Lower West Side,41.85669,-87.65132,Private room,59,32,245,2022-09-01,1.84,1,179,0,City registration pending
2564678,Even Cowgirls Get The Blues Rm.,5654677,Urban Art,,South Lawndale,41.85295,-87.70686,Private room,45,32,6,2021-09-13,0.05,3,161,0,R22000076746
2695259,Grand Vintage Lincoln Park Penthouse 3 Bedrooms,13793246,Kristi,,Lake View,41.93308,-87.6511,Entire home/apt,,1,162,2023-10-22,1.77,1,0,0,R23000098955
2715815,Great Location w/Fast Wi-Fi King Bed DESK GYM A+,3965428,Paul,,Near South Side,41.85361,-87.62434,Entire home/apt,,32,17,2023-10-19,0.13,24,206,0,City registration pending
2748293,"Entire Modern 1 BR Condo, Long Term Rental Only",2539247,Huiri,,Near South Side,41.86307,-87.62371,Entire home/apt,75,179,3,2015-05-19,0.02,2,1,0,City registration pending
2824585,#54-Home away from home- Safe place,13389580,Ed,,Dunning,41.9443,-87.79831,Private room,43,32,30,2024-08-01,0.23,2,365,1,R17000013486
2844042,iKlektik House Chicago / BlueJay,8813383,Mindy + Tony,,West Town,41.89288,-87.68458,Entire home/apt,113,2,184,2025-03-06,1.39,3,1,19,R23000110018
2874486,Gorgeous Penthouse with Stunning Views from Private Rooftop,14692157,Ross,,West Town,41.90026,-87.66871,Entire home/apt,189,2,277,2024-12-09,2.69,1,214,32,R21000071753
2907500,The Red Room,11231030,Erik,,West Lawn,41.78225,-87.72806,Private room,44,1,382,2025-02-25,2.96,2,328,33,R17000014945
3031898,Art Collector's Pied-a'-terre,15442332,Karen Sophie,,South Shore,41.77206,-87.56982,Entire home/apt,105,32,246,2025-02-07,1.87,1,254,1,City registration pending
3053081,Relaxed Bucktown/Wicker Park 1B Apt,1368870,Paul,,Logan Square,41.91571,-87.67449,Entire home/apt,87,2,524,2025-03-12,3.98,1,0,51,R22000090195
3068787,Lincoln Square Modern 2 Bed 2 Bath,7780304,Mark And Collette,,North Center,41.96136,-87.6784,Entire home/apt,191,3,195,2025-01-06,1.68,1,270,38,R22000080115
3083343,Splendid 2 Bedroom Flat +In-Unit Laundry & Porch,209564,Amitabh,,Logan Square,41.91533279418945,-87.67047882080078,Entire home/apt,169,2,153,2025-01-09,1.21,6,69,20,R18000036344
3088192,2nd floor of 1908 brick two-flat in Logan Square,15710890,Paul & Sarah,,Logan Square,41.93105,-87.71177,Entire home/apt,154,1,504,2025-03-02,3.86,1,87,46,R24000116829
3105733,King Bed in Private room in 3 BR,12416635,David,,Near West Side,41.86968,-87.68582,Private room,113,4,24,2020-03-30,0.18,1,102,0,R23000108430
3167664,"Ample Artsy Condo w Open Kitchen, Deck",1970552,Evan & Lindsey,,Rogers Park,42.00561,-87.67074,Entire home/apt,,32,51,2015-10-20,0.39,1,76,0,
3172794,LOFT606:  Gigantic Sunlit Former Factory Home,16090300,John,,Logan Square,41.91634,-87.69335,Entire home/apt,868,1,89,2024-12-29,0.69,9,340,7,R24000121153
3177497,Cozy Gotham Private King Bed & Bath near the Lake!,13374424,RaeGina,,Rogers Park,42.013777799902776,-87.67188185110726,Private room,,28,18,2024-10-15,0.16,1,0,8,R18000030225
3267902,Ravenswood Guest House Annex,2676165,Richard,,Edgewater,41.98908,-87.66697,Entire home/apt,98,1,419,2025-02-16,3.20,1,225,44,R23000104940
3292054,The Roscoe House near Wrigley Field,5960265,Courtney And Garrett,,Lake View,41.94278,-87.65621,Entire home/apt,228,4,323,2025-03-11,2.49,2,300,67,R23000105796
3308694,"""The Annex II"" Huge 1,600 Sq foot Apartment",16707041,Matthew,,Near West Side,41.88711,-87.6438,Entire home/apt,356,2,136,2024-11-18,1.32,2,260,20,R21000072734
3329088,East Garfield Park 2 Bedroom,16807770,William,,East Garfield Park,41.88367,-87.70864,Entire home/apt,140,3,160,2024-11-30,1.23,1,334,26,R23000105070
3373118,"2-BR, 2-BA Luxury Condo Humboldt Park",3533788,Janet,,West Town,41.90975,-87.69636,Entire home/apt,130,14,0,,,1,363,0,R25000126594
3385966,Welcome to your 2BD Penthouse,9995028,Chad,,Lake View,41.93594,-87.66953,Entire home/apt,175,32,190,2023-11-11,1.58,1,328,0,C17000006773
3394750,Park Side Apt. Walk to Orange Line!,8781008,Jenn,,Mckinley Park,41.8251,-87.6739,Entire home/apt,77,1,110,2025-02-17,1.23,2,149,1,R24000122754
3434136,Beautiful West Lakeview location,17217012,Janet,,Lake View,41.94159,-87.65099,Private room,86,32,177,2023-10-15,1.37,1,362,0,R17000013279
3445991,"#55-Clean,Great area. free parking, 24h check in.",13389580,Ed,,Dunning,41.94418,-87.79895,Private room,35,32,7,2025-01-12,0.05,2,69,1,City registration pending
3453656,Private large room with your own bathroom,17405364,Jennifer,,Rogers Park,42.00146,-87.66982,Private room,,7,48,2025-01-24,0.41,3,0,7,R21000073244
3517984,Private room w/bath in urban canopy,11294056,Amanda,,Hyde Park,41.79963,-87.59186,Private room,65,1,487,2025-03-03,3.78,1,26,57,R17000015187
3570616,1 Bedroom Victorian Beauty at Logan Square!,3920450,Vasileios,,Logan Square,41.93047,-87.7196,Entire home/apt,71,32,160,2024-10-01,1.24,4,271,2,
3590692,"Modern, Super-CLEAN, Garden Level  Bedroom 3",12955486,Luke & Ligia,,Edgewater,41.99103,-87.66166,Private room,46,20,48,2024-10-09,0.37,3,148,2,R18000034100
3638744,Chicago Suite 1BR/1BA (3709-G2),837429,Petru,,Irving Park,41.95965,-87.72016,Entire home/apt,91,14,48,2024-11-15,0.38,1,227,2,R22000091033
3639045,Modern suite in Victorian Garden setting.,8607123,Grainne,,West Ridge,41.99595,-87.67545,Entire home/apt,59,32,6,2024-07-20,0.08,1,221,1,R17000015507
3696178,Beautiful condo close to the beach,18742622,Barbara,,Rogers Park,42.0222,-87.67226,Private room,46,3,82,2024-12-12,0.68,2,312,9,R23000109108
3742513,03a. Queen sized in coed room,2907254,Joseph,,West Ridge,42.0168,-87.68771,Shared room,18,1,170,2024-10-21,1.32,13,343,10,R21000075752
3761023,"Free parking, close to public transit, dining",14015437,Andrew &  Diane,,Bridgeport,41.83615,-87.64638,Entire home/apt,,3,102,2024-12-29,0.96,1,0,24,R23000105445
3783533,"""Home Away from Home"" - Free Street Parking!",19416379,Glenda,,Humboldt Park,41.898048,-87.702972,Entire home/apt,114,28,365,2025-03-01,2.86,1,180,2,R17000018703
3792844,Luxury One Bedroom One-Private bathroom on beach,19471032,Alberto,,Loop,41.877,-87.63055,Private room,60,32,12,2024-12-12,0.27,1,228,2,R21000074087
3809530,Best location in Chicago! Superhost,19578992,Laura,,West Town,41.90173,-87.67359,Entire home/apt,257,32,103,2023-10-09,0.80,3,364,0,R17000015699
3811926,The Blue Room,11231030,Erik,,West Lawn,41.78392,-87.72921,Private room,37,1,528,2024-10-28,4.09,2,302,25,R17000014945
3897045,Chic and modern - Best location in Chicago,3843347,Andrea,,Near North Side,41.89637,-87.62726,Entire home/apt,162,32,38,2024-08-04,0.30,3,187,1,City registration pending
3924599,Unique and Chic 1,4010906,Bobbie,,Grand Boulevard,41.8198,-87.61423,Private room,130,5,8,2022-09-16,0.06,6,1,0,R22000081167
3953322,Spacious Luxury Townhouse - Old Town,20490917,Robert,,Lincoln Park,41.91374,-87.64014,Entire home/apt,150,2,231,2025-03-10,2.09,2,305,42,R22000092254
3962072,SPACIOUS and VERY BRIGHT 2BDR LOFT near DOWNTOWN,20528154,Gabriela,,Near West Side,41.88503,-87.68664,Entire home/apt,106,3,140,2024-11-05,1.09,1,337,13,R22000092133
3979320,2 Room Apartment in Vintage Bldg,20624213,Karen,,Uptown,41.95652,-87.64982,Entire home/apt,103,3,33,2025-02-10,3.40,2,243,33,R24000116741
3979385,Private 3rd Floor Apartment,20624213,Karen,,Uptown,41.95669,-87.64847,Entire home/apt,162,3,362,2025-01-02,2.82,2,222,31,R19000047696
4083903,"Beautiful, Spacious Historic Greystone Unit.",21178487,Fatimah,,Grand Boulevard,41.80392,-87.6108,Entire home/apt,171,32,3,2020-03-01,0.05,1,89,0,R21000075485
4096995,Spacious Private Room w/ king bed,2880338,Elizabeth,,Uptown,41.96264,-87.67296,Private room,46,32,36,2024-12-21,0.29,2,89,5,R17000015627
4105283,Short-Term Sublet Near Lake Michigan,18649856,Rachel,,Edgewater,41.99701,-87.66099,Entire home/apt,,75,212,2024-08-04,1.67,1,38,1,R22000090276
4150121,Stunning Chicago Loft Near Wrigley Field,2441500,Lisa,,Lake View,41.94987,-87.64611,Entire home/apt,127,2,521,2025-01-11,4.11,1,124,37,R23000103593
4156913,Near Lake Michigan & Wrigley Field,6874747,Brian,,Uptown,41.96705,-87.65772,Entire home/apt,197,2,261,2025-03-13,2.19,1,115,70,R22000081484
4214683,"Mid City, Vintage, Close to O'Hare Pvt Room",21872907,Tamiz,,Irving Park,41.95107,-87.71005,Private room,70,3,177,2025-02-17,1.40,1,241,22,R22000091106
4243309,Sleek Wrigleyville/Boystown Condo with Rooftop Skyline Views,21924626,Nathan,,Lake View,41.94124,-87.64941,Private room,,1,403,2025-02-17,3.24,2,107,27,R22000091244
4243905,Historic house in hip Logan Square,22022871,Jill,,Logan Square,41.9254,-87.69753,Entire home/apt,250,32,53,2023-11-07,0.45,1,365,0,R23000095686
4257285,The Stained Glass Apt. Edgewater #2,2915265,Felice,,Edgewater,41.99632,-87.66385,Private room,60,3,98,2024-12-01,0.77,2,334,27,R22000091618
4264117,Cozy Chicago Stay in Heart of Lincoln Square,1368349,Nancy,,Lincoln Square,41.96745,-87.68424,Entire home/apt,76,1,19,2021-11-22,0.17,1,45,0,R24000121458
4278818,Unique and Chic 2,4010906,Bobbie,,Grand Boulevard,41.81873,-87.61387,Entire home/apt,109,5,22,2024-10-17,0.19,6,1,1,R22000081167
4335812,Garden Suite,4010906,Bobbie,,Grand Boulevard,41.81793,-87.61291,Private room,114,5,13,2024-09-04,0.11,6,365,1,R23000106145
4365466,01a. Full bed in Shared Space - Female Guests Only,2907254,Joseph,,West Ridge,42.01653,-87.68788,Shared room,18,1,121,2024-12-03,0.96,13,0,8,R21000075752
4370895,Sun-drenched Vintage Flat with a Lake view,10691960,Kayla,,Near North Side,41.90487,-87.62747,Entire home/apt,271,32,96,2022-06-06,0.77,1,178,0,City registration pending
4394093,Private bed/bath in beautiful home,22810362,Anne,,Lake View,41.95518,-87.66999,Private room,85,3,36,2023-08-19,0.30,1,77,0,R20000058491
4417718,"Cozy, Bright Basement Guest Suite",1096941,Angela,,Irving Park,41.96114,-87.70514,Private room,75,25,27,2024-12-14,0.22,1,0,2,R18000036419
4457161,"Comfy 3BD/1BA, garage spot included",23128169,Jeanne,,North Center,41.95931,-87.67795,Entire home/apt,204,2,102,2025-02-16,0.81,1,122,12,R17000018685
4567558,2 Bedrooms are perfect for groups up to 3 guests,2169532,Adam,,Irving Park,41.95501,-87.73814,Private room,107,32,131,2022-10-11,1.06,1,89,0,R21000061825
4592031,UPTOWN ROW HOUSE-SPACIOUS PRIVATE SHARED ROOM(S),23803571,Tomasso,,Uptown,41.96574,-87.65747,Private room,90,1,150,2024-11-05,1.52,1,0,13,R21000074243
4598631,7 Beds 2 floor Apt : NO Parties,1649647,Bianca,,West Town,41.9116,-87.66693,Entire home/apt,189,32,307,2023-04-01,2.45,5,70,0,c
4632510,Spacious two bedroom with patio!,1563534,Lizzie,,West Town,41.90376,-87.69556,Entire home/apt,,32,163,2024-06-01,1.31,1,151,1,R18000028038
4662201,"Great location, large space",24124115,Syed,,West Town,41.900188,-87.661751,Entire home/apt,115,32,28,2022-10-15,0.22,1,0,0,R21000072502
4730797,Home in Vibrant Logan Square,2892101,Justine,,Logan Square,41.92125,-87.70158,Private room,68,4,134,2024-08-22,1.10,2,102,10,R22000090201
4731523,A Cozy Room for Two in Vibrant Logan Square,2892101,Justine,,Logan Square,41.92286,-87.70154,Private room,53,4,98,2025-02-17,0.79,2,116,16,R22000090201
